"concurrent_requests";"benchmark_title";"client_home_elapsed_seconds";"client_home_error_msg";"client_home_http_code";"client_home_result";"client_home_started_time";"client_home_stopped_time";"server_buy_cpu_usage";"server_buy_memory_usage";"server_buy_elapsed_seconds";"server_buy_error_msg";"server_buy_result";"server_buy_started_time";"server_buy_stopped_time";"client_buy_elapsed_seconds";"client_buy_error_msg";"client_buy_http_code";"client_buy_result";"client_buy_started_time";"client_buy_stopped_time"
1000;"";9.525;"";200;True;"2015-01-03T00:33:34.012045";"2015-01-03T00:33:43.536823";33.1;3098;0.321;"";True;"2015-01-03T00:33:43.766133";"2015-01-03T00:33:44.086629";7.025;"";200;True;"2015-01-03T00:33:43.536952";"2015-01-03T00:33:50.562316"
1000;"";9.17;"";200;True;"2015-01-03T00:33:34.327635";"2015-01-03T00:33:43.497611";33.1;3098;0.375;"";True;"2015-01-03T00:33:43.715071";"2015-01-03T00:33:44.089885";7.125;"";200;True;"2015-01-03T00:33:43.497741";"2015-01-03T00:33:50.622840"
1000;"";8.656;"";200;True;"2015-01-03T00:33:34.749027";"2015-01-03T00:33:43.404948";32.7;3098;0.497;"";True;"2015-01-03T00:33:43.590105";"2015-01-03T00:33:44.086944";7.229;"";200;True;"2015-01-03T00:33:43.405070";"2015-01-03T00:33:50.633731"
1000;"";8.564;"";200;True;"2015-01-03T00:33:35.211441";"2015-01-03T00:33:43.775661";33.0;3100;0.289;"";True;"2015-01-03T00:33:44.023460";"2015-01-03T00:33:44.312033";6.901;"";200;True;"2015-01-03T00:33:43.775780";"2015-01-03T00:33:50.676353"
1000;"";8.162;"";200;True;"2015-01-03T00:33:34.784023";"2015-01-03T00:33:42.946040";32.9;3101;0.299;"";True;"2015-01-03T00:33:44.369559";"2015-01-03T00:33:44.668674";7.988;"";200;True;"2015-01-03T00:33:42.946332";"2015-01-03T00:33:50.934524"
1000;"";9.762;"";200;True;"2015-01-03T00:33:34.627195";"2015-01-03T00:33:44.389079";30.7;3103;0.296;"";True;"2015-01-03T00:33:45.003740";"2015-01-03T00:33:45.299660";6.573;"";200;True;"2015-01-03T00:33:44.389209";"2015-01-03T00:33:50.962584"
1000;"";6.565;"";200;True;"2015-01-03T00:33:34.530244";"2015-01-03T00:33:41.095381";32.6;3103;0.369;"";True;"2015-01-03T00:33:44.580046";"2015-01-03T00:33:44.949079";9.875;"";200;True;"2015-01-03T00:33:41.095509";"2015-01-03T00:33:50.970962"
1000;"";9.364;"";200;True;"2015-01-03T00:33:34.458521";"2015-01-03T00:33:43.822212";33.1;3100;0.331;"";True;"2015-01-03T00:33:44.099959";"2015-01-03T00:33:44.431017";7.167;"";200;True;"2015-01-03T00:33:43.822341";"2015-01-03T00:33:50.989008"
1000;"";9.919;"";200;True;"2015-01-03T00:33:34.056706";"2015-01-03T00:33:43.975716";33.0;3101;0.304;"";True;"2015-01-03T00:33:44.396725";"2015-01-03T00:33:44.700596";7.06;"";200;True;"2015-01-03T00:33:43.975853";"2015-01-03T00:33:51.035584"
1000;"";8.714;"";200;True;"2015-01-03T00:33:35.312152";"2015-01-03T00:33:44.025925";32.8;3103;0.248;"";True;"2015-01-03T00:33:44.648856";"2015-01-03T00:33:44.896959";7.041;"";200;True;"2015-01-03T00:33:44.026077";"2015-01-03T00:33:51.067212"
